event_id,user_id,event_timestamp,event_name
1,1,2024-02-10 00:00:00,signed_up
2,1,2024-02-11 12:00:00,used_feature_X
3,1,2024-02-17 03:00:00,used_feature_X
4,2,2024-01-18 00:00:00,signed_up
5,2,2024-01-18 00:45:00,created_project
6,2,2024-01-19 07:00:00,used_feature_X
7,3,2024-02-17 00:00:00,signed_up
8,3,2024-02-17 00:27:00,created_project
9,3,2024-02-17 03:27:00,invited_teammate
10,4,2024-02-27 00:00:00,signed_up
11,4,2024-02-27 00:48:00,created_project
12,4,2024-02-28 10:00:00,used_feature_X
13,5,2024-01-03 00:00:00,signed_up
14,5,2024-01-03 00:21:00,created_project
15,5,2024-01-03 03:21:00,invited_teammate
16,5,2024-01-05 23:21:00,viewed_pricing_page
17,5,2024-01-06 09:21:00,upgraded_plan
18,5,2024-02-02 14:00:00,used_feature_X
19,6,2024-01-15 00:00:00,signed_up
20,6,2024-01-16 21:00:00,used_feature_X
21,6,2024-01-29 09:00:00,used_feature_X
22,7,2024-02-15 00:00:00,signed_up
23,7,2024-02-15 00:30:00,created_project
24,7,2024-02-15 18:30:00,invited_teammate
25,7,2024-02-18 04:30:00,viewed_pricing_page
26,7,2024-02-16 05:00:00,used_feature_X
27,7,2024-02-22 00:00:00,used_feature_X
28,8,2024-02-07 00:00:00,signed_up
29,8,2024-02-07 01:14:00,created_project
30,8,2024-02-08 22:00:00,used_feature_X
31,9,2024-01-01 00:00:00,signed_up
32,9,2024-01-01 00:48:00,created_project
33,9,2024-01-01 05:48:00,viewed_pricing_page
34,9,2024-01-02 03:00:00,used_feature_X
35,9,2024-01-15 12:00:00,used_feature_X
36,10,2024-01-22 00:00:00,signed_up
37,10,2024-01-22 01:20:00,created_project
38,10,2024-01-23 11:00:00,used_feature_X
39,11,2024-02-18 00:00:00,signed_up
40,11,2024-02-18 01:13:00,created_project
41,11,2024-02-19 07:13:00,invited_teammate
42,11,2024-02-19 20:13:00,viewed_pricing_page
43,12,2024-01-25 00:00:00,signed_up
44,12,2024-01-25 01:04:00,created_project
45,12,2024-01-26 19:00:00,used_feature_X
46,12,2024-02-01 11:00:00,used_feature_X
47,13,2024-01-23 00:00:00,signed_up
48,13,2024-01-23 01:45:00,created_project
49,13,2024-01-24 02:00:00,used_feature_X
50,14,2024-02-16 00:00:00,signed_up
51,14,2024-02-16 01:43:00,created_project
52,14,2024-02-17 12:00:00,used_feature_X
53,15,2024-02-29 00:00:00,signed_up
54,15,2024-02-29 01:46:00,created_project
55,16,2024-01-19 00:00:00,signed_up
56,16,2024-01-19 00:48:00,created_project
57,16,2024-01-20 21:48:00,invited_teammate
58,16,2024-01-23 06:48:00,viewed_pricing_page
59,16,2024-01-20 22:00:00,used_feature_X
60,16,2024-01-26 21:00:00,used_feature_X
61,17,2024-02-15 00:00:00,signed_up
62,17,2024-02-15 01:52:00,created_project
63,17,2024-02-16 17:00:00,used_feature_X
64,17,2024-02-22 14:00:00,used_feature_X
65,18,2024-01-15 00:00:00,signed_up
66,18,2024-01-15 01:21:00,created_project
67,18,2024-01-16 21:00:00,used_feature_X
68,18,2024-01-22 06:00:00,used_feature_X
69,19,2024-02-24 00:00:00,signed_up
70,19,2024-02-25 00:00:00,used_feature_X
71,20,2024-01-25 00:00:00,signed_up
72,20,2024-01-25 01:23:00,created_project
73,20,2024-01-26 10:00:00,used_feature_X
74,20,2024-02-01 21:00:00,used_feature_X
75,21,2024-02-23 00:00:00,signed_up
76,21,2024-02-23 00:49:00,created_project
77,21,2024-02-24 16:00:00,used_feature_X
78,22,2024-01-23 00:00:00,signed_up
79,22,2024-01-24 17:00:00,used_feature_X
80,23,2024-02-14 00:00:00,signed_up
81,23,2024-02-15 22:00:00,used_feature_X
82,24,2024-01-11 00:00:00,signed_up
83,24,2024-01-11 01:00:00,created_project
84,24,2024-01-12 06:00:00,used_feature_X
85,25,2024-01-25 00:00:00,signed_up
86,25,2024-01-25 00:41:00,created_project
87,25,2024-01-26 02:00:00,used_feature_X
88,25,2024-02-08 15:00:00,used_feature_X
89,26,2024-02-10 00:00:00,signed_up
90,26,2024-02-11 04:00:00,used_feature_X
91,27,2024-02-23 00:00:00,signed_up
92,27,2024-02-24 13:00:00,used_feature_X
93,28,2024-01-03 00:00:00,signed_up
94,28,2024-01-04 07:00:00,used_feature_X
95,28,2024-01-10 19:00:00,used_feature_X
96,28,2024-01-17 15:00:00,used_feature_X
97,29,2024-01-05 00:00:00,signed_up
98,29,2024-01-05 01:09:00,created_project
99,29,2024-01-06 01:00:00,used_feature_X
100,30,2024-02-06 00:00:00,signed_up
101,30,2024-02-06 01:06:00,created_project
102,30,2024-02-08 22:06:00,viewed_pricing_page
103,31,2024-02-01 00:00:00,signed_up
104,31,2024-02-01 01:05:00,created_project
105,31,2024-02-02 21:00:00,used_feature_X
106,32,2024-02-11 00:00:00,signed_up
107,32,2024-02-11 00:48:00,created_project
108,32,2024-02-13 12:48:00,viewed_pricing_page
109,32,2024-02-12 23:00:00,used_feature_X
110,32,2024-02-18 11:00:00,used_feature_X
111,33,2024-01-09 00:00:00,signed_up
112,33,2024-01-09 00:09:00,created_project
113,33,2024-01-10 18:00:00,used_feature_X
114,33,2024-01-16 20:00:00,used_feature_X
115,34,2024-02-04 00:00:00,signed_up
116,34,2024-02-04 00:42:00,created_project
117,34,2024-02-05 02:00:00,used_feature_X
118,34,2024-02-11 02:00:00,used_feature_X
119,35,2024-01-28 00:00:00,signed_up
